Question	Answer	Source
What geological observations will Curiosity engage in, and how will that help in learning about possible life on Mars?	The Mars Science Laboratory rover, Curiosity, will assess whether Mars ever had an environment capable of supporting microbial life - habitability. Whether life has existed on Mars is an open question that this mission, by itself, is not designed to answer. Curiosity does not carry experiments to detect active processes that would signify present-day biological metabolism. Nor does it have the ability to image microorganisms or their fossil equivalents. However, if this mission finds that the field site in Gale Crater has had conditions favourable for habitability and for preserving evidence about life, those findings can shape future missions that would bring samples back to Earth for life-detection tests or for missions that carry advanced life-detection experiments to Mars. In this sense, the Mars Science Laboratory is the prospecting stage in a step-by-step program of exploration, reconnaissance, prospecting and mining evidence for a definitive answer about whether life has existed on Mars.\n\nMars Science Laboratory is part of a series of expeditions to the Red Planet that help meet the four main science goals of the Mars Exploration Program:\n\n* Determine whether life ever arose on Mars\n* Characterize the climate of Mars\n* Characterize the geology of Mars\n* Prepare for human exploration\n\nTo contribute to the four science goals and meet its specific goal of determining Mars' habitability, Mars Science Laboratory has the following science objectives.\n\nBiological:\n\n1. Determine the nature and inventory of organic carbon compounds 2. Inventory the chemical building blocks of life (carbon, hydrogen, nitrogen, oxygen, phosphorous, and sulfur) 3. Identify features that may represent the effects of biological processes\n\nGeological and Geochemical:\n\n4. Investigate the chemical, isotopic, and mineralogical composition of the Martian surface and near-surface geological materials 5. Interpret the processes that have formed and modified rocks and soils\n\nPlanetary Process:\n\n6. Assess long-timescale (i.e., 4-billion-year) atmospheric evolution processes 7. Determine present state, distribution, and cycling of water and carbon dioxide\n\nSurface Radiation:\n\n8. Characterize the broad spectrum of surface radiation, including galactic cosmic radiation, solar proton events, and secondary neutrons\n	https://www.nasa.gov/offices/marsplanning/faqs/
Does the soil on Mars contain the ingredients needed to grow plants? Will we need to bring things to enhance the soil?	It would be possible to grow plants on Mars only in technologically advanced, controlled environments that could keep the plants warm and give the plants enough atmosphere, light, and water to live. Scientists anticipate that humans would be able to use the Martian soil as a substrate for plant growth. Based upon results from the Phoenix Mars Lander mission, the soil pH and salt content are not detrimental to plants (scientists working on the mission found that the soil at the Phoenix landing site is very basic, with a pH of between eight and nine).\n\nHuman visitors would likely have to add a little fertilizer, but scientists still do not know enough about the chemistry of the Martian soil to determine what additional fertilizers plants may need. Studies of Martian soil characteristics will help future scientists develop ways to grow plants for human communities on Mars.	https://www.nasa.gov/offices/marsplanning/faqs/
Will any of Curiosity's landing events be recorded on video and sent back to Earth?	\n\nDuring the final few minutes of Curiosity's flight to the surface of Mars, the Mars Descent Imager, or MARDI, will record a full-color video of the ground below. This will provide the Mars Science Laboratory team with information about the landing site and its surroundings, to aid interpretation of the rover's ground-level views and planning of initial drives. Hundreds of the images taken by the camera will show features smaller than what can be discerned in images taken from orbit. The video will also give fans worldwide an unprecedented sense of what it might feel like to ride a spacecraft to a landing on Mars.\n\nMARDI will record the video on its own 8 gigabyte flash memory, at about four frames per second and close to 1,600 by 1,200 pixels per frame. Thumbnails and a few samples of full-resolution frames will be transmitted to Earth in the first days after landing. The nested set of images from higher altitude to ground level will enable pinpointing of Curiosity's location. The pace of sending the rest of the frames for full-resolution video will depend on sharing priority with data from the rover's other investigations.\n\nThe full video - available first from the thumbnails in YouTube-like resolution and later in full detail - will begin with a glimpse of the heat shield falling away from beneath the rover. The first views of the ground will cover an area several kilometers (a few miles) across. Successive frames taken as the vehicle descends will close in and cover successively smaller areas. The video will likely nod up and down to fairly large angles owing to parachute-induced oscillations. Its roll clockwise and counterclockwise will be smaller, as thrusters on the descent stage control that motion. When the parachute is jettisoned, the video will show large angular motions as the descent vehicle maneuvers to avoid re-contacting the back shell and parachute. Rocket engine vibration may also be seen. A few seconds before landing, the rover will be lowered on tethers beneath the descent stage, and the video will show the relatively slow approach to the surface. The final frames, after landing, will cover a bath-towel-size patch of ground under the front-left corner of the rover.\n\nIn addition to meeting the main objective of providing geologic context for the observations and operations of the rover during the early part of mission on Mars, MARDI will also provide insight about Mars' atmosphere. Combining information from the descent images with information from the spacecraft's motion sensors will enable calculation of wind speeds affecting the spacecraft on its way down, an important atmospheric science measurement. The descent data will affect design and testing of future landing systems for Mars that could add more control for hazard avoidance.\n\nThroughout Curiosity's mission on Mars, MARDI will offer the capability to obtain images of ground beneath the rover at resolutions down to 0.06 inch (1.5 millimeters) per pixel, for precise tracking of its movements or for geologic mapping - the science team will decide whether or not to use that capability. Each day of operations on Mars will require choices about how to budget power, data and time.\n	https://www.nasa.gov/offices/marsplanning/faqs/
Is there a microphone on Curiosity so that the sound of wind and sounds the rover makes itself can be heard by us back on Earth?	Although sound could be recorded on Mars, Curiosity does not carry a recording device. There are three NASA sites that might help you explore the relevant concepts further:	https://www.nasa.gov/offices/marsplanning/faqs/
What is the amount of oxygen in Mars' atmosphere?	The oxygen content of the Martian atmosphere is only 0.13 percent, compared with 21 percent in Earth's atmosphere. Carbon dioxide makes up 95.3 percent of the gas in the atmosphere of Mars. It also contains nitrogen and argon and very small amounts of water and methane.	https://www.nasa.gov/offices/marsplanning/faqs/
How deep will Curiosity be able to dig to find water and/or indications of life?	Although the Mars Science Laboratory rover, Curiosity, does not have a tool specifically for digging, as on the earlier rovers, the mobility system can be used to dig beneath the surface by rotating one corner wheel while keeping the other five wheels immobile. However, whether life has existed on Mars is an open question that this mission, by itself, is not designed to answer. Curiosity does not carry experiments to detect active processes that would signify present-day biological metabolism, nor does it have the ability to image microorganisms or their fossil equivalents.\n\nHowever, if this mission finds that the field site in Gale Crater has had conditions favorable for habitability and for preserving evidence about life, those findings can shape future missions that would bring samples back to Earth for life-detection tests or for missions that carry advanced life-detection experiments to Mars. In this sense, the Mars Science Laboratory is the prospecting stage in a step-by-step program of exploration, reconnaissance, prospecting and mining evidence for a definitive answer about whether life has existed on Mars. NASA's Astrobiology Program has aided in development of the Mars Science Laboratory science payload and in studies of extreme habitats on Earth that can help in understanding possible habitats on Mars.	https://www.nasa.gov/offices/marsplanning/faqs/
We know that the surface of Mars is red colored, sandy and rocky. But what we do not know is what lies beneath the surface of Mars. Is this something that Curiosity also will investigate, during its mission on Mars, using radio waves or would that be a very different mission?	Curiosity carries the Dynamic Albedo of Neutrons (DAN) instrument, which can detect water bound into shallow underground minerals along Curiosity's path. The DAN instrument shoots neutrons into the ground and measures how they are scattered, giving it a high sensitivity for finding any hydrogen to a depth of about 20 inches (50 centimeters) directly beneath the rover. The instrument can be used to help identify places for examination by Curiosity's other tools. Also, rock formations that Curiosity's cameras view at the surface may be traced underground by DAN, extending scientists' understanding of Mars' geology.\n\nThanks to the SHARAD (Shallow Radar) instrument onboard the Mars Reconnaissance Orbiter, we do know more about what lies beneath the surface of Mars. SHARAD looks for liquid or frozen water in the first few hundreds of feet (up to 1 kilometer) of Mars' crust. SHARAD probes the subsurface using radar waves within a 15- to 25-megahertz frequency band to get the desired, high-depth resolution. The radar wave return, which is captured by the SHARAD antenna, is sensitive to changes in the electrical reflection characteristics of rock, sand, and any water that may be present in the surface and subsurface. Water, like high-density rock, is highly conducting, and has a very strong radar return.   \n\n\nAdditionally, landed missions such as the Mars Exploration Rovers and the Phoenix Mars Mission have enhanced our understanding of what lies just beneath the surface. The Phoenix Mars Mission did this with its [specially-designed robotic arm with scoop] and the Mars Exploration Rovers did so by locking five of their six wheels and using the free wheel to dig into the sand and soil in an activity the mission team called "trenching" (for example: [Opportunity Digs, Spirit Advances] Curiosity's mobility system can be used in a similar way.\n	https://www.nasa.gov/offices/marsplanning/faqs/
When will we send a mission to the poles of Mars? What are the dangers of such a mission and why?	In the continuing pursuit of water on Mars, the polar regions are a good place to probe, as water ice is found there. NASA has already sent two lander missions to the poles of Mars. The first, [Mars Polar Lander](http://mars.jpl.nasa.gov/programmissions/missions/past/polarlander/) (1999) - an ambitious mission to set a spacecraft down on the frigid terrain near the edge of Mars' south polar cap and dig for water ice with a robotic arm - was lost upon arrival. The 2007-2008 Phoenix Mars Mission to the north pole of Mars, on the other hand, was a great success. Phoenix landed farther north than any previous mission, at a latitude equivalent to that of northern Alaska on Earth, and used a robotic arm to dig through the protective top soil layer to the water ice below, bringing both soil and water ice to the lander platform for sophisticated scientific analysis. Read more about the results of this exciting polar mission at the [Phoenix Mars Mission website](http://phoenix.lpl.arizona.edu/index.php).\n\n There are a number of informative videos about the challenges of landing on Mars available in the [Mars Exploration Program video archive](http://mars.jpl.nasa.gov/multimedia/videoarchive/). You can read specifically about the landing of the Phoenix Mars Mission at [Phoenix Mars Mission: Entry, Descent and Landing](http://phoenix.lpl.arizona.edu/phases04.php)\n	https://www.nasa.gov/offices/marsplanning/faqs/
I am a middle school science teacher just starting to use Project-Based Learning and want to create a unit that included the study of Mars and our solar system. What would be a deep, open-ended driving question for such a unit?	\n\nIt sounds like your class might be a great match for [NASA's Mars Student Imaging Project (MSIP)](http://msip.asu.edu/), because the heart of MSIP is students coming up with their own research questions about Mars. MSIP is a NASA opportunity, for anyone from grade 5 through college, to participate in NASA research opportunities free of charge. This program offers teams or classes of students the opportunity to work (either in person or via distance-learning technologies) with scientists, mission planners and educators on the team (at Arizona State University's Mars Space Flight Facility) that manages the THEMIS visible wavelength camera onboard the Mars Odyssey spacecraft currently orbiting Mars.\n\nIn MSIP, participants engage in a curricular unit that scaffolds their creation of an observation plan, from determining the question to analyzing the data. With the help of spacecraft controllers, the students send the commands to the spacecraft in orbit around Mars. When the spacecraft has completed the requested observations, it sends the image back to Earth to be processed and analyzed by participating students. This project is not intended to add to the regular science curriculum. Instead, as a National Science Education Standards-aligned series of activities, it can be used to teach standards-based material in a new and exciting way. And because students are working with real data, real discoveries are possible. In fact, a middle school team in California [discovered a cave skylight on Mars]	https://www.nasa.gov/offices/marsplanning/faqs/
What is the thickness of the atmosphere of Mars?	\n\nThe atmosphere of Mars is thin, cold, and dry and contains much less oxygen than the atmosphere of Earth. The oxygen content of the Martian atmosphere is only 0.13 percent, compared with 21 percent in Earth's atmosphere. Carbon dioxide makes up 95.3 percent of the gas in the atmosphere of Mars. It also contains nitrogen and argon and very small amounts of water and methane. Additionally, the atmospheric pressure on Mars is only about 1/100 that of Earth's!\n\nScientists are studying why Mars' atmosphere is so thin. It may be because there's not as much sunlight arriving at Mars as there is on Earth, since Mars is 1 1/2 times farther away from the sun than the Earth is. It may be that Mars had a lot of atmosphere in the early part of the planet's history, but once its magnetic field disappeared, this lack of a protective barrier allowed sunlight to strip away the upper atmosphere, making the atmosphere thinner. (The upper atmosphere of a planet is constantly bombarded by the solar wind, a fast stream of very light particles emanating from the sun. This wind itself is fairly benign, but it also carries a magnetic field. This field picks up ions from the upper atmosphere, accelerates them, and then smashes them back into other ions at several hundred kilometers per second, knocking ions out to space. If the planet itself has a magnetic field, it can shield the upper atmosphere from the solar wind. However, because it is a small planet, Mars cooled rapidly so that its inner dynamo disappeared and it lost its original magnetic field quickly.)\n	https://www.nasa.gov/offices/marsplanning/faqs/
